proy,actividad,meta,entregado,avance_fis,avance_fin
8154,Realizar 4 Evento(s) de eSports y Deportes Alternativos,4.0,0.0,0.0,8.031913119125033
8155,Desarrollar 4 Torneo(s) deportivos que fortalezcan el deporte ,4.0,0.0,0.0,0.0
8155,Realizar 4 Torneo(s) por la igualdad que permitan espacios de ,4.0,0.0,0.0,1.3418193611156153
8155,Desarrollar 158 Experiencia(s) para la Paz,158.0,14.0,8.860759493670885,6.915291114056731
8154,Realizar 8 Evento(s) deportivos del Sector Educativo,8.0,1.0,12.5,8.11387465890156
8154,Desarrollar 23 Certamen(es) deportivos distritales  nacionales,23.0,4.0,17.391304347826086,8.67163076507698
8155,Realizar 902 Actividad(es) de Recreación para grupos etarios y,90525.0,16355.0,18.066832366749516,12.312279750609921
8155,Realizar 368650 Actividad(es) físicas dirigidas para la promoc,368650.0,71561.0,19.41163705411637,16.574382266350142
8155,Beneficiar 160000 Persona(s) con procesos de alfabetización fí,160000.0,32443.0,20.276875,22.52642976374874
8155,Realizar 241 Jornada(s) de Ciclovías dominicales y festivas,241.0,50.0,20.74688796680498,13.786350160951004
8155,Desarrollar 8 Evento(s) metropolitanos,108.0,23.0,21.296296296296298,19.56183720482716
8155,Desarrollar 4535 Actividad(es) de promoción del uso de la bici,45325.0,9776.0,21.568670711527854,9.915687611454947
8154,Beneficiar 4200 Persona(s) en las Escuelas Deportivas,42100.0,11352.0,26.96437054631829,16.442148880669976
8154,Preparar 8100 Persona(s) en el programa de Rendimiento Deporti,8100.0,2545.0,31.419753086419753,23.389617898269936
