cod_localidad,localidad,anio,mes_corte,vigente,comprometido,girado,giro_mes,compromiso_mes,giro_diciembre,giro_q4,pct_comprometido,pct_girado,pct_girado_de_comprometido,concentracion_diciembre,concentracion_q4,anio_completo
1,Usaquén,2024,12,88133.927189,80859.74780299999,39070.469029,2584.0571750000017,32766.355613999993,2584.0571750000017,6333.460895,91.7464481409063,44.33079323154953,48.31881138707984,6.613837097993343,16.210352863435034,True
1,Usaquén,2025,12,120944.957133,120168.167523,70059.269409,8655.637678,12615.396754999994,8655.637678,17809.07288,99.35773294859595,57.92657343452332,58.30102168745376,12.354735855821062,25.42000941521694,True
1,Usaquén,2026,5,131076.057114,68765.766495,26374.666792,6696.232522000002,1118.9618209999899,,,52.46249239492516,20.121651026671728,38.35435586094677,,,False
2,Chapinero,2024,12,63598.610917,58271.189431,25265.342018,2544.569689,16659.365940999996,2544.569689,8368.549328999998,91.62336816923155,39.72624818955997,43.358205426572184,10.071384298645752,33.12264414642763,True
2,Chapinero,2025,12,75924.828581,69147.513177,38452.727001,4227.493620000001,11346.051241000001,4227.493620000001,12837.739725,91.07365070074587,50.645787049722365,55.609703421395395,10.99400211561084,33.385771897702185,True
2,Chapinero,2026,5,69233.00917599999,41126.007323,9455.496519,1492.7572560000008,19.626986000002944,,,59.402310852113814,13.657497531217812,22.991525641517722,,,False
3,Santa Fe,2024,12,86249.130404,82916.904067,50653.603453,1790.4468230000057,4920.441333999988,1790.4468230000057,11371.978216000003,96.13651022173615,58.72940772357147,61.089598101817664,3.5346879608699684,22.45048217853194,True
3,Santa Fe,2025,12,97973.264648,97920.927493,47550.704606,6297.323605999998,15710.712889999995,6297.323605999998,10553.470614999998,99.94658016634637,48.53436779599105,48.56030863208401,13.243386524298517,22.194141395895006,True
3,Santa Fe,2026,5,107759.692887,66269.28421700001,16623.594485,3564.9053810000023,-185.7708949999942,,,61.49728385593298,15.426542188118516,25.084916309893632,,,False
4,San Cristóbal,2024,12,186793.698766,184551.185602,90254.057118,8608.921713000003,51400.020508000016,8608.921713000003,22815.711756999997,98.79947065730028,48.31750627255525,48.904620592706664,9.538542629440494,25.279430626780876,True
