cod_localidad,localidad,poblacion_total,poblacion_15_mas,poblacion_45_mas,poblacion_60_mas,pct_45_mas,pct_60_mas,anio
11,Suba,1246296,1038412,442130,208166,35.475521064016895,16.70277365890607,2025
8,Kennedy,1080345,887303,361096,162222,33.42413765972907,15.015758854810269,2025
10,Engativá,827215,699640,301903,149975,36.49631595171751,18.130111276995702,2025
7,Bosa,767285,609143,225168,91143,29.346070886306915,11.87863701232267,2025
19,Ciudad Bolívar,680144,530066,186880,80975,27.47653438095462,11.905567056388058,2025
1,Usaquén,572511,488733,225816,117254,39.4430849363593,20.480654520175158,2025
5,Usme,403123,315192,112557,49878,27.921254803124604,12.372898594225584,2025
4,San Cristóbal,401380,323941,126098,58696,31.41611440530171,14.623548756789077,2025
9,Fontibón,391355,331123,140749,66317,35.96453347983289,16.945484278979443,2025
18,Rafael Uribe Uribe,379062,309650,122208,58116,32.23958086012315,15.331528879180714,2025
16,Puente Aranda,251646,215368,95901,48822,38.10948713669202,19.401063398583723,2025
6,Tunjuelito,177340,146156,57939,27690,32.6711401826999,15.614074658847413,2025
2,Chapinero,163538,140157,61604,31050,37.669532463403,18.98641294378065,2025
13,Teusaquillo,157506,139022,68958,36735,43.78118928802712,23.32292103157975,2025
12,Barrios Unidos,139692,120587,53380,27878,38.21263923488818,19.956762019299603,2025
3,Santa Fe,113358,93339,35215,16555,31.06529755288555,14.604174385574904,2025
14,Los Mártires,83984,70042,27349,13223,32.56453610211469,15.744665650600114,2025
15,Antonio Nariño,79747,66777,29103,15037,36.494162789822816,18.855881725958344,2025
17,La Candelaria,16793,14792,5588,2863,33.27576966593223,17.04877032096707,2025
20,Sumapaz,3648,2718,1165,514,31.93530701754386,14.089912280701755,2025
