CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo,CodigoBPIN,mes_ponderado,pct_valor_Q4,n_contratos,grupo
7251,Empresa de Transporte del Tercer Milenio - Transmilenio S.A.,DESARROLLO Y GESTIÓN DE LA INFRAESTRUCTURA DEL SISTEMA INT,1,15538.21,3.0,1.42307254181788,0,-40.6986301369863,2020110010278,4.55527824507529,0.0,4.0,<25% en Q4
7501,Empresa Metro de Bogotá S.A.,PRIMERA LÍNEA DE METRO DE BOGOTÁ,2,12421715.32,21.37839760286872,10.826375145103553,0,-22.320232534117583,2020110010193,7.701550441154314,41.4338971080031,214.0,25-50%
7519,Empresa Metro de Bogotá S.A.,DISEÑO  CONSTRUCCIÓN Y PUESTA EN OPERACIÓN DE LA PRIMERA L,4,685204.55,10.612691103700346,11.260440404255926,1,-33.08593903328595,2020110010193,7.701550441154314,41.4338971080031,214.0,25-50%
7520,Empresa Metro de Bogotá S.A.,DESARROLLO  IDENTIFICACIÓN  PLANEACIÓN  ESTRUCTURACIÓN Y A,3,1529760.05,0.0,0.138137350364196,3,-43.6986301369863,2020110010192,5.568412270158038,5.150337291104642,16.0,<25% en Q4
7528,Empresa de Renovación y Desarrollo Urbano,FORMULACIÓN GESTIÓN Y ESTRUCTURACIÓN DE PROYECTOS DE DESAR,2,66074.15,17.981669079360085,23.89973991341546,0,-25.716961057626214,2024110010009,3.222463283560687,0.0,11.0,<25% en Q4
7532,Empresa Metro de Bogotá S.A.,FORTALECIMIENTO DE LA CAPACIDAD INSTITUCIONAL EN EL MARCO ,7,17040.260000000002,15.916516684604575,9.073042312734664,6,-27.78211345238173,2024110010016,7.898117487225004,66.3704985460876,17.0,50-75%
7575,Secretaría Distrital del Hábitat,ESTUDIOS Y DISEÑOS DE PROYECTO PARA EL MEJORAMIENTO INTEGR,5,184029.19,0.0,4.921708344203439,5,-43.6986301369863,2020110010320,3.0128343553552726,1.2016299748388675,114.0,<25% en Q4
7624,Secretaría de Educación del Distrito,SERVICIO EDUCATIVO DE COBERTURA CON EQUIDAD EN BOGOTÁ D.C.,2,216970.58,3.320770591451885,3.3437067827352447,1,-40.37785954553442,2020110010007,7.028095201756088,5.399367133945856,283.0,<25% en Q4
7638,Secretaría de Educación del Distrito,FORTALECIMIENTO DE LA INFRAESTRUCTURA Y DOTACIÓN DE AMBIEN,4,1007748.81,10.203991922896329,23.88876747966589,2,-33.494638214089974,2020110010008,6.7718253206551635,37.3232390206155,452.0,25-50%
7717,Instituto Distrital de Turismo,FORTALECIMIENTO DE LA CAPACIDAD DEL SISTEMA DISTRITAL DE T,7,5309.070000000001,5.911907986395609,19.59589909343821,5,-37.78672215059069,2024110010119,4.60042896097615,8.496800080672383,57.0,<25% en Q4
7883,Secretaría Distrital del Hábitat,ADECUACIÓN DE ENTORNOS URBANOS Y/O RURALES CON DÉFICIT DE ,4,165439.46,0.0,3.2099415701671177,4,-43.6986301369863,2024110010214,3.8391678204068604,0.6725255720964644,56.0,<25% en Q4
7891,Departamento Administrativo del Servicio Civil Distrital,FORTALECIMIENTO INSTITUCIONAL DEL DASCD: HACIA UNA GESTIÓN,2,654.87,23.68594421139201,23.607738940553087,0,-20.01268592559429,2024110010177,5.8660771160676335,11.54554909211951,49.0,<25% en Q4
7893,"Secretaría Distrital de Cultura, Recreación y Deporte",FORMACIÓN ARTÍSTICA  CULTURAL Y DEPORTIVA A LO LARGO DE LA,2,9099.31,25.75256925030429,30.69166782975852,0,-17.94606088668201,2024110010081,6.341849799425552,1.817369298806295,16.0,<25% en Q4
7921,Fundación Gilberto Alzate Avendaño,FORTALECIMIENTO INSTITUCIONAL DE LA FUGA BOGOTÁ D.C.,3,10797.57,24.1471006254185,27.239740052622956,0,-19.551529511567804,2024110010011,3.416412993619474,1.5353692126862128,70.0,<25% en Q4
