ambito,anio,mes,valor_mm,pct_del_anio
Proyectos de actividad física,2024,1,0.0,0.0
Proyectos de actividad física,2024,2,0.0,0.0
Proyectos de actividad física,2024,3,107.52,0.18
Proyectos de actividad física,2024,4,13867.56,23.14
Proyectos de actividad física,2024,5,778.49,1.3
Proyectos de actividad física,2024,6,310.9,0.52
Proyectos de actividad física,2024,7,3743.6,6.25
Proyectos de actividad física,2024,8,7381.84,12.32
Proyectos de actividad física,2024,9,1196.13,2.0
Proyectos de actividad física,2024,10,1712.53,2.86
Proyectos de actividad física,2024,11,29341.49,48.96
Proyectos de actividad física,2024,12,1484.91,2.48
Proyectos de actividad física,2025,1,2761.81,2.1
Proyectos de actividad física,2025,2,16002.91,12.19
Proyectos de actividad física,2025,3,16212.79,12.35
Proyectos de actividad física,2025,4,23944.89,18.24
Proyectos de actividad física,2025,5,13845.15,10.55
Proyectos de actividad física,2025,6,5122.32,3.9
Proyectos de actividad física,2025,7,4193.07,3.19
Proyectos de actividad física,2025,8,2160.71,1.65
Proyectos de actividad física,2025,9,3224.16,2.46
Proyectos de actividad física,2025,10,43591.65,33.21
Proyectos de actividad física,2025,11,188.54,0.14
Proyectos de actividad física,2025,12,0.0,0.0
IDRD completo,2024,1,16.5,0.01
IDRD completo,2024,2,6552.69,2.77
IDRD completo,2024,3,29371.11,12.43
IDRD completo,2024,4,38942.8,16.48
IDRD completo,2024,5,22906.49,9.7
IDRD completo,2024,6,23468.06,9.93
IDRD completo,2024,7,4354.29,1.84
IDRD completo,2024,8,14410.98,6.1
IDRD completo,2024,9,7486.09,3.17
IDRD completo,2024,10,23736.22,10.05
IDRD completo,2024,11,58597.85,24.8
IDRD completo,2024,12,6408.47,2.71
IDRD completo,2025,1,7711.83,1.84
IDRD completo,2025,2,39314.88,9.37
IDRD completo,2025,3,33274.25,7.93
IDRD completo,2025,4,57019.61,13.59
IDRD completo,2025,5,24901.67,5.94
IDRD completo,2025,6,8847.22,2.11
IDRD completo,2025,7,32561.95,7.76
IDRD completo,2025,8,5000.57,1.19
IDRD completo,2025,9,61194.9,14.59
IDRD completo,2025,10,147979.65,35.27
IDRD completo,2025,11,1729.78,0.41
IDRD completo,2025,12,0.0,0.0
Todo el Distrito,2024,1,412471.03,4.39
Todo el Distrito,2024,2,999279.59,10.64
Todo el Distrito,2024,3,719951.35,7.67
Todo el Distrito,2024,4,1297140.53,13.82
Todo el Distrito,2024,5,748366.38,7.97
Todo el Distrito,2024,6,541556.05,5.77
Todo el Distrito,2024,7,422553.99,4.5
Todo el Distrito,2024,8,707156.27,7.53
Todo el Distrito,2024,9,599173.32,6.38
Todo el Distrito,2024,10,460654.56,4.91
Todo el Distrito,2024,11,1694472.82,18.05
Todo el Distrito,2024,12,785561.06,8.37
Todo el Distrito,2025,1,2046689.19,18.83
Todo el Distrito,2025,2,1821779.5,16.76
Todo el Distrito,2025,3,881311.42,8.11
Todo el Distrito,2025,4,816781.67,7.51
Todo el Distrito,2025,5,629900.63,5.79
Todo el Distrito,2025,6,723431.9,6.65
Todo el Distrito,2025,7,614959.93,5.66
Todo el Distrito,2025,8,596071.59,5.48
Todo el Distrito,2025,9,1018794.43,9.37
Todo el Distrito,2025,10,946341.75,8.7
Todo el Distrito,2025,11,775805.67,7.14
Todo el Distrito,2025,12,15.38,0.0
