anio,mes,tipo_objeto,valor_mm
2024,3.0,Todo lo demás,107.52000000000001
2024,4.0,Todo lo demás,684.907299
2024,4.0,"Viajes, comida, uniformes y eventos",13182.652382999999
2024,5.0,Todo lo demás,778.491801
2024,6.0,Todo lo demás,310.896199
2024,7.0,"Viajes, comida, uniformes y eventos",3743.6035
2024,8.0,Todo lo demás,508.7495
2024,8.0,"Viajes, comida, uniformes y eventos",6873.086717
2024,9.0,Todo lo demás,1004.863067
2024,9.0,"Viajes, comida, uniformes y eventos",191.27
2024,10.0,Todo lo demás,1295.377
2024,10.0,"Viajes, comida, uniformes y eventos",417.150668
2024,11.0,Todo lo demás,2004.237489
2024,11.0,"Viajes, comida, uniformes y eventos",27337.254672
2024,12.0,Todo lo demás,655.854167
2024,12.0,"Viajes, comida, uniformes y eventos",829.0574330000001
2025,1.0,Todo lo demás,2424.216058
2025,1.0,"Viajes, comida, uniformes y eventos",337.59000000000003
2025,2.0,Todo lo demás,15778.064736999999
2025,2.0,"Viajes, comida, uniformes y eventos",224.85
2025,3.0,Todo lo demás,12229.425867
2025,3.0,"Viajes, comida, uniformes y eventos",3983.364394
2025,4.0,Todo lo demás,20773.5762
2025,4.0,"Viajes, comida, uniformes y eventos",3171.3187199999998
2025,5.0,Todo lo demás,12281.932584
2025,5.0,"Viajes, comida, uniformes y eventos",1563.22
2025,6.0,Todo lo demás,4796.644666
2025,6.0,"Viajes, comida, uniformes y eventos",325.676
2025,7.0,Todo lo demás,2896.171681
2025,7.0,"Viajes, comida, uniformes y eventos",1296.895942
2025,8.0,Todo lo demás,2003.91434
2025,8.0,"Viajes, comida, uniformes y eventos",156.799627
2025,9.0,Todo lo demás,1155.99247
2025,9.0,"Viajes, comida, uniformes y eventos",2068.172
2025,10.0,Todo lo demás,1988.43025
2025,10.0,"Viajes, comida, uniformes y eventos",41603.224367
2025,11.0,Todo lo demás,62.516
2025,11.0,"Viajes, comida, uniformes y eventos",126.0275
2026,1.0,Todo lo demás,2718.845
2026,1.0,"Viajes, comida, uniformes y eventos",626.893
2026,2.0,Todo lo demás,171.248
