CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo
19,Empresa de Acueducto y Alcantarillado de Bogotá,CONSTRUCCIÓN DE REDES LOCALES PARA EL SERVICIO DE ALCANTAR,1,26333.35,0.0,1.253125789160893,1,-43.6986301369863
20,Empresa de Acueducto y Alcantarillado de Bogotá,CONSTRUCCIÓN DE REDES LOCALES PARA EL SERVICIO DE ALCANTAR,1,3199.36,0.0,9.787269953990798,1,-43.6986301369863
21,Empresa de Acueducto y Alcantarillado de Bogotá,CONSTRUCCIÓN DEL SISTEMA TRONCAL Y SECUNDARIO DE ALCANTARI,1,22926.59,0.0,0.5888359324260607,1,-43.6986301369863
22,Empresa de Acueducto y Alcantarillado de Bogotá,CONSTRUCCIÓN DEL SISTEMA TRONCAL Y SECUNDARIO DE ALCANTARI,1,16088.58,13.070913461538462,10.543627840368758,0,-30.627716675447843
50,Empresa de Acueducto y Alcantarillado de Bogotá,RENOVACIÓN Y/O REPOSICIÓN DE LOS SISTEMAS DE ABASTECIMIENT,3,96451.2,1.0261930654782994,7.179516688231977,2,-42.672437071508
51,Empresa de Acueducto y Alcantarillado de Bogotá,RENOVACIÓN Y/O REPOSICIÓN DEL SISTEMA TRONCAL  SECUNDARIO ,2,79779.98999999999,2.189975321152547,10.676875241523597,1,-41.50865481583376
52,Empresa de Acueducto y Alcantarillado de Bogotá,RENOVACIÓN Y/O REPOSICIÓN DEL SISTEMA TRONCAL  SECUNDARIO ,2,30503.31,14.120845714086759,13.884493191066802,1,-29.577784422899544
55,Empresa de Acueducto y Alcantarillado de Bogotá,DESARROLLO DE ACCIONES PARA EL FORTALECIMIENTO ADMINISTRAT,2,5336.26,0.0,1.8698489204049273,2,-43.6986301369863
68,Empresa de Acueducto y Alcantarillado de Bogotá,ADECUACIÓN DE LAS REDES ASOCIADAS A LA INFRAESTRUCTURA VIA,2,63177.57,0.0,100.0,2,-43.6986301369863
7251,Empresa de Transporte del Tercer Milenio - Transmilenio S.A.,DESARROLLO Y GESTIÓN DE LA INFRAESTRUCTURA DEL SISTEMA INT,1,15538.21,3.0,1.42307254181788,0,-40.6986301369863
7334,Empresa de Acueducto y Alcantarillado de Bogotá,CONSTRUCCIÓN Y EXPANSIÓN DEL SISTEMA DE ABASTECIMIENTO Y M,3,94026.70000000001,0.0,3.6375625221346697,3,-43.6986301369863
7338,Empresa de Acueducto y Alcantarillado de Bogotá,CONSTRUCCIÓN DE REDES LOCALES PARA EL SERVICIO DE ACUEDUCT,1,1267.29,0.0,5.720868940810706,1,-43.6986301369863
7341,Empresa de Acueducto y Alcantarillado de Bogotá,ADECUACIÓN HIDRÁULICA Y RECUPERACIÓN AMBIENTAL DE HUMEDALE,1,1401.3,0.0,0.0,1,-43.6986301369863
7501,Empresa Metro de Bogotá S.A.,PRIMERA LÍNEA DE METRO DE BOGOTÁ,2,12421715.32,21.378397602868716,10.826375145103551,0,-22.320232534117586
7519,Empresa Metro de Bogotá S.A.,DISEÑO  CONSTRUCCIÓN Y PUESTA EN OPERACIÓN DE LA PRIMERA L,4,685204.55,10.612691103700346,11.260440404255926,1,-33.08593903328595
7520,Empresa Metro de Bogotá S.A.,DESARROLLO  IDENTIFICACIÓN  PLANEACIÓN  ESTRUCTURACIÓN Y A,3,1529760.05,0.0,0.138137350364196,3,-43.6986301369863
