cod_localidad,localidad,anio,mes,ValorVigente,ValorCompromiso,ValorGiros,giro_mes,compromiso_mes
1,Usaquén,2024,1,92359.937,14770.914824,2989.50582,2989.50582,14770.914824
1,Usaquén,2024,2,92359.937,17311.930315,7296.861518,4307.355697999999,2541.015491000002
1,Usaquén,2024,3,87883.927189,23149.284384,10410.564578,3113.70306,5837.354068999997
1,Usaquén,2024,4,87883.927189,24219.442449,12770.132993,2359.5684149999997,1070.1580649999996
1,Usaquén,2024,5,87883.927189,32448.711049,15217.234068,2447.1010750000005,8229.268600000003
1,Usaquén,2024,6,87883.927189,33418.301113,17444.983583,2227.7495150000013,969.590064
1,Usaquén,2024,7,87883.927189,36646.617499,27445.156582,10000.172998999999,3228.3163859999986
1,Usaquén,2024,8,87883.927189,37323.777915,29328.033781,1882.8771989999987,677.1604159999988
1,Usaquén,2024,9,88133.927189,40830.082353,32737.008134,3408.9743530000014,3506.304437999999
1,Usaquén,2024,10,88133.927189,42576.544484,33936.058898,1199.0507640000033,1746.4621310000002
1,Usaquén,2024,11,88133.927189,48093.392189,36486.411854,2550.352955999995,5516.847705
1,Usaquén,2024,12,88133.927189,80859.74780299999,39070.469029,2584.0571750000017,32766.355613999993
1,Usaquén,2025,1,128486.222,42159.478773999996,1033.639293,1033.639293,42159.478773999996
1,Usaquén,2025,2,128486.222,44459.982301,4848.115984,3814.476691,2300.5035270000008
1,Usaquén,2025,3,119842.221774,49528.594901,7336.325119,2488.209135,5068.6126
1,Usaquén,2025,4,119842.221774,56062.393159,12848.67838,5512.353260999999,6533.7982580000025
1,Usaquén,2025,5,119842.221774,57916.406529,17313.183486,4464.505106000002,1854.0133700000006
1,Usaquén,2025,6,120717.621631,58065.259249999996,22016.567925,4703.384438999998,148.85272099999565
1,Usaquén,2025,7,120717.621631,71737.84423999999,26578.50729,4561.939365000002,13672.584989999996
1,Usaquén,2025,8,123418.427133,80276.025691,46083.241500000004,19504.734210000002,8538.181451000011
1,Usaquén,2025,9,123418.427133,82696.293898,52250.196529,6166.955028999997,2420.268207000001
1,Usaquén,2025,10,123418.427133,99896.129191,56706.031787,4455.835257999999,17199.835292999996
1,Usaquén,2025,11,123418.427133,107552.770768,61403.631731,4697.599944000001,7656.641577000002
1,Usaquén,2025,12,120944.957133,120168.167523,70059.269409,8655.637678,12615.396754999994
1,Usaquén,2026,1,141659.92,61592.683710000005,473.023711,473.023711,61592.683710000005
1,Usaquén,2026,2,141659.92,64944.914214000004,7050.926646,6577.902935,3352.230503999999
1,Usaquén,2026,3,141659.92,67629.020907,12742.208079,5691.281433,2684.1066929999943
1,Usaquén,2026,4,131076.057114,67646.80467400001,19678.434269999998,6936.226190999998,17.78376700001536
1,Usaquén,2026,5,131076.057114,68765.766495,26374.666792,6696.232522000002,1118.9618209999899
2,Chapinero,2024,1,60097.964,26894.676682,572.139348,572.139348,26894.676682
2,Chapinero,2024,2,58912.918695,27173.039782,2111.477424,1539.338076,278.36309999999867
2,Chapinero,2024,3,58912.918695,28109.708131,3748.747906,1637.270482,936.6683489999996
2,Chapinero,2024,4,58912.918695,29313.310055,5562.136399,1813.388493,1203.6019240000023
2,Chapinero,2024,5,58912.918695,26329.931094,7269.581957,1707.4455580000003,-2983.378961000002
2,Chapinero,2024,6,58912.918695,26874.169145,8141.046522,871.4645649999993,544.2380510000003
2,Chapinero,2024,7,60279.918695,33021.870774,9688.218368,1547.1718460000002,6147.701629000003
2,Chapinero,2024,8,60279.918695,35370.758528,13062.682667000001,3374.464299000001,2348.8877539999958
2,Chapinero,2024,9,60279.918695,37483.94266,16896.792689,3834.1100220000008,2113.184132000002
2,Chapinero,2024,10,63598.610917,40379.796106,19081.864603,2185.071914,2895.853446000001
2,Chapinero,2024,11,63598.610917,41611.82349,22720.772329,3638.9077259999976,1232.027384000001
2,Chapinero,2024,12,63598.610917,58271.189431,25265.342018,2544.569689,16659.365940999996
2,Chapinero,2025,1,77638.649,33201.49011,1460.873792,1460.873792,33201.49011
2,Chapinero,2025,2,77638.649,34271.644344,2757.13283,1296.259038,1070.1542340000015
2,Chapinero,2025,3,73457.004413,39587.810744,4496.499893,1739.3670630000001,5316.166400000002
2,Chapinero,2025,4,73457.004413,40862.790678,6896.5047970000005,2400.0049040000004,1274.9799339999954
2,Chapinero,2025,5,73457.004413,45367.297931,8513.840572000001,1617.3357750000005,4504.507253000003
2,Chapinero,2025,6,73457.004413,45614.686238999995,16388.081331999998,7874.240759999997,247.38830799999414
2,Chapinero,2025,7,73457.004413,48364.464115999996,18776.130274,2388.0489420000013,2749.7778770000004
2,Chapinero,2025,8,73457.004413,50746.888263,22209.542460999997,3433.412186999998,2382.424147000005
2,Chapinero,2025,9,73457.004413,51908.409909999995,25614.987276,3405.4448150000026,1161.5216469999941
2,Chapinero,2025,10,77249.052581,52701.931744,29607.767888000002,3992.7806120000023,793.5218340000065
2,Chapinero,2025,11,77249.052581,57801.461936,34225.233381,4617.465492999996,5099.530191999998
2,Chapinero,2025,12,75924.828581,69147.513177,38452.727001,4227.493620000001,11346.051241000001
2,Chapinero,2026,1,76372.595,38890.790176,1504.2188840000001,1504.2188840000001,38890.790176
2,Chapinero,2026,2,76372.595,41094.230879,5357.227563,3853.0086790000005,2203.440703
2,Chapinero,2026,3,69233.00917599999,41132.798346,6525.209204,1167.9816409999994,38.56746700000076
2,Chapinero,2026,4,69233.00917599999,41106.380336999995,7962.7392629999995,1437.5300589999997,-26.41800900000817
2,Chapinero,2026,5,69233.00917599999,41126.007323,9455.496519,1492.7572560000008,19.626986000002944
3,Santa Fe,2024,1,95024.198,34312.710301,2540.967263,2540.967263,34312.710301
3,Santa Fe,2024,2,84114.130404,38072.779094,4653.363725,2112.396462,3760.0687929999985
3,Santa Fe,2024,3,84114.130404,40916.801894,6961.35331,2307.9895850000003,2844.022799999999
3,Santa Fe,2024,4,84114.130404,41625.123847999996,15073.767405999999,8112.414095999999,708.3219539999991
3,Santa Fe,2024,5,84114.130404,46057.056966,18425.294167,3351.526761000001,4431.933118000001
3,Santa Fe,2024,6,84114.130404,65988.523062,25293.190747,6867.8965800000005,19931.466095999996
3,Santa Fe,2024,7,84249.130404,71760.196125,31264.707148,5971.516401000001,5771.673063000009
3,Santa Fe,2024,8,84249.130404,72130.992224,37017.898383,5753.191234999998,370.79609899999923
3,Santa Fe,2024,9,86249.130404,73714.396322,39281.625237,2263.7268540000005,1583.404097999999
3,Santa Fe,2024,10,86249.130404,75878.349025,45503.632936,6222.007699000002,2163.9527030000027
3,Santa Fe,2024,11,86249.130404,77996.46273300001,48863.15663,3359.523693999996,2118.1137080000044
3,Santa Fe,2024,12,86249.130404,82916.904067,50653.603453,1790.4468230000057,4920.441333999988
3,Santa Fe,2025,1,98001.031,32446.664414,3659.3540789999997,3659.3540789999997,32446.664414
3,Santa Fe,2025,2,98001.031,38787.481814,7133.7967180000005,3474.442639000001,6340.8174
3,Santa Fe,2025,3,98001.031,40330.442358,9170.510327,2036.7136089999995,1542.9605440000014
