Institucion,anio,mes,ValorVigente,ValorCompromiso,ValorGiros,giro_mes,compromiso_mes
Instituto Distrital de Recreación y Deporte,2024,1,408340.357,13885.203663999999,932.158349,932.158349,13885.203663999999
Instituto Distrital de Recreación y Deporte,2024,2,408340.357,30735.92399,8218.165441,7286.007091999999,16850.720326000002
Instituto Distrital de Recreación y Deporte,2024,3,408340.357,62642.917564999996,15545.090054,7326.924613000001,31906.993574999997
Instituto Distrital de Recreación y Deporte,2024,4,408340.357,111097.936656,30713.401012,15168.310957999998,48455.01909100001
Instituto Distrital de Recreación y Deporte,2024,5,408340.357,184660.908981,44001.404087,13288.003075000004,73562.97232499998
Instituto Distrital de Recreación y Deporte,2024,6,408340.357,184660.908981,58905.261966,14903.857878999996,0.0
Instituto Distrital de Recreación y Deporte,2024,7,408340.357,200019.981671,80743.874412,21838.612446000006,15359.07269
Instituto Distrital de Recreación y Deporte,2024,8,411826.717,224249.677275,105350.52916,24606.654748,24229.695604000008
Instituto Distrital de Recreación y Deporte,2024,9,405894.228689,235562.172406,132680.155121,27329.625960999983,11312.495131000003
Instituto Distrital de Recreación y Deporte,2024,10,407959.186806,260102.950818,160908.580373,28228.425252000015,24540.778412000014
Instituto Distrital de Recreación y Deporte,2024,11,407959.186806,316747.896369,193792.572305,32883.991932000004,56644.94555100001
Instituto Distrital de Recreación y Deporte,2024,12,396682.50744,382686.725714,256138.805455,62346.233149999985,65938.82934499998
Instituto Distrital de Recreación y Deporte,2025,1,556552.598,1646.049794,901.196294,901.196294,1646.049794
Instituto Distrital de Recreación y Deporte,2025,2,556552.598,42909.094252999996,3270.888969,2369.6926750000002,41263.044459
Instituto Distrital de Recreación y Deporte,2025,3,556552.598,96444.10859199999,15189.661427000001,11918.772458000001,53535.014338999994
Instituto Distrital de Recreación y Deporte,2025,4,556552.598,184059.968742,29297.109171,14107.447744,87615.86015000001
Instituto Distrital de Recreación y Deporte,2025,5,556552.598,210149.493241,52718.447905,23421.338734,26089.524498999992
Instituto Distrital de Recreación y Deporte,2025,6,556552.598,240802.90686,75213.294802,22494.846897000003,30653.413619
Instituto Distrital de Recreación y Deporte,2025,7,556896.333956,268418.466581,105139.72156,29926.426758,27615.559721000027
Instituto Distrital de Recreación y Deporte,2025,8,556896.333956,322918.106328,132831.322756,27691.601196000003,54499.63974700001
Instituto Distrital de Recreación y Deporte,2025,9,556896.333956,382537.894759,175493.143483,42661.820726999984,59619.788430999964
Instituto Distrital de Recreación y Deporte,2025,10,556896.333956,438517.520514,243204.03766899998,67710.89418599999,55979.62575499999
Instituto Distrital de Recreación y Deporte,2025,11,556896.333956,455391.72698,276340.603949,33136.56628000003,16874.206466000003
Instituto Distrital de Recreación y Deporte,2025,12,546188.931216,500360.27088900004,346787.188046,70446.58409700001,44968.54390900006
Instituto Distrital de Recreación y Deporte,2026,1,498513.226,171819.830617,1375.971898,1375.971898,171819.830617
Instituto Distrital de Recreación y Deporte,2026,2,498513.226,192045.79879600002,9967.801814,8591.829916,20225.968179000018
Instituto Distrital de Recreación y Deporte,2026,3,498513.226,215316.663291,26637.148403,16669.346589,23270.864494999987
Instituto Distrital de Recreación y Deporte,2026,4,498513.22599999997,243366.027582,51617.831661000004,24980.683258000005,28049.364291000005
Instituto Distrital de Recreación y Deporte,2026,5,498513.226,285165.918037,81132.942465,29515.110803999996,41799.890454999986
