cod_localidad,localidad,comprometido_af_directa,comprometido_af_infra,girado_af_directa,girado_af_infra,programado_af_directa,programado_af_infra,af_total_programado,af_total_girado,pct_girado_af,pct_comprometido_af
8,Kennedy,1596.49,2751.5,823.14,0.0,28160.19,17902.83,46063.020000000004,823.14,1.7869866109516916,9.43922044190763
11,Suba,716.11,130.43,368.93,75.89,23452.550000000003,14626.970000000001,38079.520000000004,444.82,1.168134472283264,2.22308474476569
7,Bosa,1423.4,4070.38,702.19,0.0,23359.18,10175.73,33534.91,702.19,2.093907513096054,16.382271489620816
19,Ciudad Bolívar,808.0,0.0,0.0,0.0,19932.77,13342.779999999999,33275.55,0.0,0.0,2.4282093008229766
5,Usme,956.3,0.0,565.44,0.0,19390.39,8318.81,27709.199999999997,565.44,2.040621887315405,3.4512003233583073
4,San Cristóbal,4236.95,0.0,526.89,0.0,17274.14,8612.4,25886.54,526.89,2.0353820943239227,16.367386294189952
18,Rafael Uribe Uribe,556.0,1424.0,0.0,0.0,16519.31,7797.11,24316.420000000002,0.0,0.0,8.14264599805399
10,Engativá,2779.25,1884.3,492.98,487.38,15280.27,7201.3,22481.57,980.36,4.3607274758835795,20.743880431838168
1,Usaquén,1137.17,170.42,140.6,123.83,6594.55,7544.04,14138.59,264.43,1.8702713636932677,9.248376252511743
9,Fontibón,894.99,0.0,381.65999999999997,0.0,8961.279999999999,4400.02,13361.3,381.65999999999997,2.8564585781323677,6.698375158105874
6,Tunjuelito,572.79,0.0,417.82000000000005,0.0,7990.11,5206.65,13196.759999999998,417.82000000000005,3.1660801590693484,4.340383548689224
3,Santa Fe,896.51,0.0,674.91,0.0,8258.42,3985.11,12243.53,674.91,5.512380824811145,7.3223163581091395
20,Sumapaz,932.74,207.67,536.01,34.07,7562.66,4512.0599999999995,12074.72,570.08,4.721268898988963,9.444608239362902
16,Puente Aranda,1571.6399999999999,0.0,599.02,0.0,6481.99,4530.6,11012.59,599.02,5.439410710831875,14.271302209561965
12,Barrios Unidos,1194.04,795.02,147.81,43.82,7264.17,3014.57,10278.74,191.63,1.8643335661763991,19.351204525068248
14,Los Mártires,1154.54,734.3199999999999,115.29,70.12,6246.92,2785.6,9032.52,185.41000000000003,2.052694043301316,20.9117721300368
2,Chapinero,154.53,45.0,123.67,37.5,5096.77,2325.84,7422.610000000001,161.17000000000002,2.1713386531152787,2.6881379999757495
15,Antonio Nariño,147.0,1133.04,50.38,281.17,3548.66,3397.18,6945.84,331.55,4.7733607454246,18.42887253377561
13,Teusaquillo,173.82,57.17,80.07,29.36,3982.34,2187.65,6169.99,109.42999999999999,1.7735847221794525,3.7437661973520218
17,La Candelaria,116.95,0.0,35.5,0.0,2905.0,1900.0,4805.0,35.5,0.7388137356919875,2.433922996878252
