cod_localidad,localidad,categoria,programado,comprometido,girado,n_actividades
1,Usaquén,af_directa,6594.55,1137.17,140.6,4
1,Usaquén,af_infra,7544.04,170.42,123.83,1
1,Usaquén,cultura,12603.119999999999,3265.25,2832.43,6
2,Chapinero,af_directa,5096.77,154.53,123.67,3
2,Chapinero,af_infra,2325.84,45.0,37.5,2
2,Chapinero,cultura,6711.1,1391.0600000000002,130.35000000000002,6
3,Santa Fe,af_directa,8258.42,896.51,674.91,4
3,Santa Fe,af_infra,3985.11,0.0,0.0,2
3,Santa Fe,cultura,12725.08,7069.21,7069.21,5
4,San Cristóbal,af_directa,17274.14,4236.95,526.89,4
4,San Cristóbal,af_infra,8612.4,0.0,0.0,2
4,San Cristóbal,cultura,26315.06,4227.31,3472.79,6
5,Usme,af_directa,19390.39,956.3,565.44,4
5,Usme,af_infra,8318.81,0.0,0.0,2
5,Usme,cultura,21423.87,2500.63,2168.8199999999997,6
5,Usme,deporte_alto,1680.56,0.0,0.0,1
5,Usme,mixto,1680.56,0.0,0.0,1
6,Tunjuelito,af_directa,7990.11,572.79,417.82000000000005,4
6,Tunjuelito,af_infra,5206.65,0.0,0.0,2
6,Tunjuelito,cultura,9529.19,5516.9400000000005,5371.47,6
7,Bosa,af_directa,23359.18,1423.4,702.19,4
7,Bosa,af_infra,10175.73,4070.38,0.0,2
7,Bosa,cultura,41925.57,3868.3,3163.8,6
8,Kennedy,af_directa,28160.19,1596.49,823.14,4
8,Kennedy,af_infra,17902.83,2751.5,0.0,2
8,Kennedy,cultura,33954.62,4217.030000000001,3340.13,6
9,Fontibón,af_directa,8961.279999999999,894.99,381.65999999999997,4
9,Fontibón,af_infra,4400.02,0.0,0.0,1
9,Fontibón,cultura,12605.24,2189.8,259.99,6
10,Engativá,af_directa,15280.27,2779.25,492.98,3
10,Engativá,af_infra,7201.3,1884.3,487.38,1
10,Engativá,cultura,19028.69,1179.88,248.05,6
11,Suba,af_directa,23452.550000000003,716.11,368.93,4
11,Suba,af_infra,14626.970000000001,130.43,75.89,2
11,Suba,cultura,32234.88,10910.369999999999,10138.6,6
12,Barrios Unidos,af_directa,7264.17,1194.04,147.81,3
12,Barrios Unidos,af_infra,3014.57,795.02,43.82,1
12,Barrios Unidos,cultura,11676.75,1809.16,1672.97,5
13,Teusaquillo,af_directa,3982.34,173.82,80.07,4
13,Teusaquillo,af_infra,2187.65,57.17,29.36,1
13,Teusaquillo,cultura,7377.01,2743.5299999999997,2638.74,6
14,Los Mártires,af_directa,6246.92,1154.54,115.29,4
14,Los Mártires,af_infra,2785.6,734.3199999999999,70.12,2
14,Los Mártires,cultura,10701.0,1620.61,169.7,6
15,Antonio Nariño,af_directa,3548.66,147.0,50.38,4
15,Antonio Nariño,af_infra,3397.18,1133.04,281.17,1
15,Antonio Nariño,cultura,16513.79,1990.44,423.7,6
16,Puente Aranda,af_directa,6481.99,1571.6399999999999,599.02,3
16,Puente Aranda,af_infra,4530.6,0.0,0.0,1
16,Puente Aranda,cultura,12291.18,1187.7,134.99,6
17,La Candelaria,af_directa,2905.0,116.95,35.5,3
17,La Candelaria,af_infra,1900.0,0.0,0.0,1
17,La Candelaria,cultura,9952.0,7519.49,6934.95,6
18,Rafael Uribe Uribe,af_directa,16519.31,556.0,0.0,4
18,Rafael Uribe Uribe,af_infra,7797.11,1424.0,0.0,2
18,Rafael Uribe Uribe,cultura,23655.649999999998,1829.1000000000001,1185.25,6
19,Ciudad Bolívar,af_directa,19932.77,808.0,0.0,4
19,Ciudad Bolívar,af_infra,13342.779999999999,0.0,0.0,2
19,Ciudad Bolívar,cultura,37068.53,5293.79,4062.88,6
20,Sumapaz,af_directa,7562.66,932.74,536.01,4
20,Sumapaz,af_infra,4512.0599999999995,207.67,34.07,2
20,Sumapaz,cultura,15241.779999999999,1111.91,576.25,6
