cod_localidad,localidad,sesiones,escenarios,disciplinas,sesiones_barrera_alta,sesiones_base,poblacion_total,poblacion_15_mas,poblacion_45_mas,poblacion_60_mas,pct_45_mas,pct_60_mas,anio,rank_riesgo,indice_riesgo,hab15_por_sesion
4,San Cristóbal,10,2,2,4,6,401380,323941,126098,58696,31.41611440530171,14.623548756789075,2025,1,93.25,32394.1
14,Los Mártires,0,0,0,0,0,83984,70042,27349,13223,32.56453610211469,15.744665650600114,2025,2,83.75,
3,Santa Fe,0,0,0,0,0,113358,93339,35215,16555,31.06529755288555,14.604174385574904,2025,3,83.0,
5,Usme,4,1,1,0,4,403123,315192,112557,49878,27.921254803124604,12.372898594225584,2025,4,81.625,78798.0
19,Ciudad Bolívar,0,0,0,0,0,680144,530066,186880,80975,27.47653438095462,11.905567056388058,2025,5,78.75,
8,Kennedy,12,3,2,4,8,1080345,887303,361096,162222,33.42413765972907,15.015758854810269,2025,6,76.125,73941.91666666667
7,Bosa,0,0,0,0,0,767285,609143,225168,91143,29.346070886306915,11.87863701232267,2025,7,59.5,
18,Rafael Uribe Uribe,6,2,1,0,6,379062,309650,122208,58116,32.23958086012315,15.331528879180714,2025,8,57.5,51608.333333333336
6,Tunjuelito,14,2,2,6,8,177340,146156,57939,27690,32.6711401826999,15.614074658847413,2025,9,53.0,10439.714285714286
10,Engativá,61,12,4,29,32,827215,699640,301903,149975,36.49631595171751,18.130111276995702,2025,10,48.75,11469.508196721312
12,Barrios Unidos,10,1,2,10,0,139692,120587,53380,27878,38.21263923488818,19.956762019299603,2025,11,45.25,12058.7
15,Antonio Nariño,0,0,0,0,0,79747,66777,29103,15037,36.494162789822816,18.855881725958344,2025,12,42.625,
9,Fontibón,20,3,3,6,14,391355,331123,140749,66317,35.96453347983289,16.945484278979443,2025,13,42.25,16556.15
11,Suba,16,3,2,10,6,1246296,1038412,442130,208166,35.475521064016895,16.70277365890607,2025,14,40.75,64900.75
20,Sumapaz,0,0,0,0,0,3648,2718,1165,514,31.93530701754386,14.089912280701755,2025,15,38.5,
17,La Candelaria,0,0,0,0,0,16793,14792,5588,2863,33.27576966593223,17.04877032096707,2025,16,36.5,
1,Usaquén,12,4,3,0,12,572511,488733,225816,117254,39.4430849363593,20.48065452017516,2025,17,31.5,40727.75
2,Chapinero,0,0,0,0,0,163538,140157,61604,31050,37.669532463403,18.98641294378065,2025,18,27.0,
16,Puente Aranda,16,1,2,6,10,251646,215368,95901,48822,38.10948713669202,19.401063398583723,2025,19,19.375,13460.5
13,Teusaquillo,6,2,2,4,2,157506,139022,68958,36735,43.78118928802712,23.32292103157975,2025,20,11.0,23170.333333333332
