cod_localidad,localidad,poblacion_total,poblacion_15_mas,poblacion_45_mas,poblacion_60_mas,pct_45_mas,pct_60_mas,anio
11,Suba,1246296,1038412,442130,208166,35.475521064016895,16.70277365890607,2025
8,Kennedy,1080345,887303,361096,162222,33.42413765972907,15.015758854810269,2025
10,Engativá,827215,699640,301903,149975,36.49631595171751,18.130111276995702,2025
7,Bosa,767285,609143,225168,91143,29.346070886306915,11.87863701232267,2025
19,Ciudad Bolívar,680144,530066,186880,80975,27.47653438095462,11.905567056388058,2025
1,Usaquén,572511,488733,225816,117254,39.4430849363593,20.480654520175158,2025
5,Usme,403123,315192,112557,49878,27.921254803124604,12.372898594225584,2025
4,San Cristóbal,401380,323941,126098,58696,31.41611440530171,14.623548756789077,2025
9,Fontibón,391355,331123,140749,66317,35.96453347983289,16.945484278979443,2025
18,Rafael Uribe Uribe,379062,309650,122208,58116,32.23958086012315,15.331528879180714,2025
16,Puente Aranda,251646,215368,95901,48822,38.10948713669202,19.401063398583723,2025
6,Tunjuelito,177340,146156,57939,27690,32.6711401826999,15.614074658847413,2025
2,Chapinero,163538,140157,61604,31050,37.669532463403,18.98641294378065,2025
13,Teusaquillo,157506,139022,68958,36735,43.78118928802712,23.32292103157975,2025
12,Barrios Unidos,139692,120587,53380,27878,38.21263923488818,19.956762019299603,2025
3,Santa Fe,113358,93339,35215,16555,31.06529755288555,14.604174385574904,2025
14,Los Mártires,83984,70042,27349,13223,32.56453610211469,15.744665650600114,2025
15,Antonio Nariño,79747,66777,29103,15037,36.494162789822816,18.855881725958344,2025
17,La Candelaria,16793,14792,5588,2863,33.27576966593223,17.04877032096707,2025
20,Sumapaz,3648,2718,1165,514,31.93530701754386,14.089912280701755,2025
11,Suba,1227984,1037143,476173,238026,38.77680816688165,19.383477309150607,2030
8,Kennedy,1075415,899045,397154,190433,36.93030132553479,17.707861616213275,2030
10,Engativá,811649,693890,322124,169224,39.68759894979234,20.84940657845941,2030
7,Bosa,788966,640503,261723,116435,33.17291239419696,14.757923662109647,2030
19,Ciudad Bolívar,704193,557910,217411,98315,30.873780341468887,13.961371385401446,2030
1,Usaquén,555188,478191,240224,125817,43.26894673515998,22.66205321440665,2030
5,Usme,413672,329563,128180,59714,30.985901873948443,14.435108008277089,2030
4,San Cristóbal,397732,325840,132962,66559,33.43004837428218,16.73463538261945,2030
9,Fontibón,383689,327432,151237,76463,39.41655872334104,19.9283794948513,2030
18,Rafael Uribe Uribe,370966,308621,128392,64627,34.61017990867087,17.42127310858677,2030
16,Puente Aranda,247356,213420,101929,54558,41.20740956354404,22.056469218454374,2030
6,Tunjuelito,174024,145404,60479,30510,34.75325242495288,17.53206454282168,2030
2,Chapinero,155459,132597,65834,32781,42.348143240339894,21.086588746872167,2030
13,Teusaquillo,152558,134850,74875,39692,49.07969428020818,26.01764574784672,2030
12,Barrios Unidos,135983,117160,56021,29290,41.19706139738056,21.539457138024606,2030
3,Santa Fe,113365,93968,38839,18349,34.26013319807701,16.185771622634853,2030
14,Los Mártires,81544,68459,30324,14932,37.18728539193564,18.311586382811733,2030
15,Antonio Nariño,77890,65078,29766,16035,38.2154320195147,20.58672486840416,2030
17,La Candelaria,16145,14109,5339,2827,33.0690616289873,17.51006503561474,2030
20,Sumapaz,3856,2904,1353,667,35.08817427385892,17.297717842323653,2030
11,Suba,1203059,1031749,507915,261891,42.21862768160165,21.768757808220546,2035
8,Kennedy,1065471,905484,429094,214516,40.27270568602994,20.133443331634552,2035
7,Bosa,805291,668100,299541,140649,37.196615881712326,17.465611809892323,2035
10,Engativá,793149,685202,343600,180177,43.3209901292191,22.7166648385108,2035
19,Ciudad Bolívar,723638,587819,250480,114575,34.61399207891238,15.83319283951368,2035
1,Usaquén,533490,466475,252326,132730,47.29723143826501,24.87956662730323,2035
5,Usme,421704,343178,144314,68232,34.2216341319978,16.180069432587786,2035
4,San Cristóbal,393853,327513,139899,71134,35.52061302059398,18.061053235598052,2035
9,Fontibón,373907,322495,159774,84350,42.73094646529752,22.5590855480106,2035
18,Rafael Uribe Uribe,363162,306408,133771,68117,36.835076357107845,18.756643040846786,2035
16,Puente Aranda,242160,211008,109040,57686,45.02808060786257,23.821440370003305,2035
6,Tunjuelito,170914,144926,63813,31963,37.336321190774306,18.70121815649976,2035
2,Chapinero,146366,126531,70166,34119,47.93872893978109,23.310741565664156,2035
13,Teusaquillo,145705,130274,80488,41382,55.24038296558114,28.40122164647747,2035
12,Barrios Unidos,132024,114493,59363,30208,44.96379446161304,22.880688359692176,2035
3,Santa Fe,112845,94865,43260,19505,38.33577030439984,17.28477114626257,2035
14,Los Mártires,78980,67550,34324,16395,43.459103570524185,20.758419853127375,2035
15,Antonio Nariño,75852,63736,30512,16234,40.22570268417444,21.402204292569742,2035
17,La Candelaria,15594,13623,5046,2540,32.35859946133128,16.28831601898166,2035
20,Sumapaz,4026,3076,1505,772,37.38201689021361,19.175360158966715,2035
