Localidad,Localidad_Mapa,No practicó deporte ni tuvo actividad física en el mes,Menos de 1 vez a la semana,1 a 2 veces por semana,3 o más veces por semana
Usaquén,USAQUEN,38.4,9.1,25.2,27.3
Chapinero,CHAPINERO,34.1,11.3,22.6,32.0
Santa Fe,SANTA FE,50.9,16.5,18.8,13.8
San Cristóbal,SAN CRISTOBAL,55.4,9.1,23.2,12.4
Usme,USME,53.3,17.2,19.5,10.0
Tunjuelito,TUNJUELITO,46.8,12.2,18.7,22.4
Bosa,BOSA,50.5,12.2,20.4,16.9
Kennedy,KENNEDY,53.3,10.6,18.8,17.3
Fontibón,FONTIBON,43.6,10.5,22.4,23.5
Engativá,ENGATIVA,45.6,12.7,22.8,18.8
Suba,SUBA,43.2,10.0,20.7,26.1
Barrios Unidos,BARRIOS UNIDOS,40.0,13.4,24.5,22.2
Teusaquillo,TEUSAQUILLO,32.2,7.9,26.3,33.6
Los Mártires,LOS MARTIRES,51.8,12.4,21.7,14.0
Antonio Nariño,ANTONIO NARINO,44.5,4.8,23.1,27.7
Puente Aranda,PUENTE ARANDA,42.1,7.6,22.7,27.7
La Candelaria,LA CANDELARIA,42.5,7.6,22.8,27.1
Rafael Uribe Uribe,RAFAEL URIBE URIBE,51.6,10.4,20.3,17.7
Ciudad Bolívar,CIUDAD BOLIVAR,52.4,14.8,18.1,14.7
Sumapaz,SUMAPAZ,44.1,9.2,20.0,26.8
Bogotá D.C.,BOGOTA D.C.,49.7,11.3,21.2,20.4
