cod_localidad,localidad,3omas_sem_2017,3omas_sem_2021,nada_2017,nada_2021,delta_nada,delta_3omas,c_nivel,c_deficit,c_deterioro,indice_riesgo,rank_riesgo
4.0,San Cristóbal,10.6,12.4,56.3,55.4,-0.8999999999999986,1.8000000000000007,100.0,95.0,75.0,93.25,1
14.0,Los Mártires,17.0,14.0,49.3,51.8,2.5,-3.0,80.0,85.0,90.0,83.75,2
3.0,Santa Fe,16.3,13.8,46.1,50.9,4.799999999999997,-2.5,70.0,90.0,100.0,83.0,3
5.0,Usme,10.9,10.0,57.5,53.3,-4.200000000000003,-0.9000000000000004,92.5,100.0,25.0,81.625,4
19.0,Ciudad Bolívar,11.7,14.7,54.0,52.4,-1.6000000000000014,3.0,85.0,80.0,62.5,78.75,5
8.0,Kennedy,16.0,17.3,55.6,53.3,-2.3000000000000043,1.3000000000000007,92.5,70.0,50.0,76.125,6
7.0,Bosa,13.3,16.9,55.2,50.5,-4.700000000000003,3.599999999999998,65.0,75.0,20.0,59.5,7
18.0,Rafael Uribe Uribe,11.5,17.7,59.9,51.6,-8.299999999999997,6.199999999999999,75.0,65.0,5.0,57.5,8
6.0,Tunjuelito,16.0,22.4,49.8,46.8,-3.0,6.399999999999999,60.0,50.0,42.5,53.0,9
10.0,Engativá,19.5,18.8,50.5,45.6,-4.899999999999999,-0.6999999999999993,55.00000000000001,60.0,15.0,48.75,10
12.0,Barrios Unidos,24.4,22.2,37.9,40.0,2.1000000000000014,-2.1999999999999993,20.0,55.00000000000001,85.0,45.25,11
15.0,Antonio Nariño,15.7,27.7,46.0,44.5,-1.5,12.0,50.0,17.5,70.0,42.625,12
9.0,Fontibón,19.5,23.5,46.6,43.6,-3.0,4.0,40.0,45.0,42.5,42.25,13
11.0,Suba,23.4,26.1,45.2,43.2,-2.0,2.700000000000003,35.0,40.0,55.00000000000001,40.75,14
20.0,Sumapaz,15.2,26.8,47.7,44.1,-3.6000000000000014,11.600000000000001,45.0,35.0,30.0,38.5,15
17.0,La Candelaria,25.8,27.1,44.1,42.5,-1.6000000000000014,1.3000000000000007,30.0,30.0,62.5,36.5,16
1.0,Usaquén,31.4,27.3,36.7,38.4,1.6999999999999957,-4.099999999999998,15.0,25.0,80.0,31.5,17
2.0,Chapinero,32.8,32.0,30.5,34.1,3.6000000000000014,-0.7999999999999972,10.0,10.0,95.0,27.0,18
16.0,Puente Aranda,18.3,27.7,48.6,42.1,-6.5,9.399999999999999,25.0,17.5,10.0,19.375,19
13.0,Teusaquillo,31.1,33.6,35.8,32.2,-3.5999999999999943,2.5,5.0,5.0,35.0,11.0,20
