periodo,anio,mes,nombre_mes,mes_abrev,trimestre,es_ultimo_trimestre,es_diciembre,ritmo_lineal_pct,fecha
202401,2024,1,Enero,Ene,T1,False,False,8.33,2024-01-01
202402,2024,2,Febrero,Feb,T1,False,False,16.67,2024-02-01
202403,2024,3,Marzo,Mar,T1,False,False,25.0,2024-03-01
202404,2024,4,Abril,Abr,T2,False,False,33.33,2024-04-01
202405,2024,5,Mayo,May,T2,False,False,41.67,2024-05-01
202406,2024,6,Junio,Jun,T2,False,False,50.0,2024-06-01
202407,2024,7,Julio,Jul,T3,False,False,58.33,2024-07-01
202408,2024,8,Agosto,Ago,T3,False,False,66.67,2024-08-01
202409,2024,9,Septiembre,Sep,T3,False,False,75.0,2024-09-01
202410,2024,10,Octubre,Oct,T4,True,False,83.33,2024-10-01
202411,2024,11,Noviembre,Nov,T4,True,False,91.67,2024-11-01
202412,2024,12,Diciembre,Dic,T4,True,True,100.0,2024-12-01
202501,2025,1,Enero,Ene,T1,False,False,8.33,2025-01-01
202502,2025,2,Febrero,Feb,T1,False,False,16.67,2025-02-01
202503,2025,3,Marzo,Mar,T1,False,False,25.0,2025-03-01
202504,2025,4,Abril,Abr,T2,False,False,33.33,2025-04-01
202505,2025,5,Mayo,May,T2,False,False,41.67,2025-05-01
202506,2025,6,Junio,Jun,T2,False,False,50.0,2025-06-01
202507,2025,7,Julio,Jul,T3,False,False,58.33,2025-07-01
202508,2025,8,Agosto,Ago,T3,False,False,66.67,2025-08-01
202509,2025,9,Septiembre,Sep,T3,False,False,75.0,2025-09-01
202510,2025,10,Octubre,Oct,T4,True,False,83.33,2025-10-01
202511,2025,11,Noviembre,Nov,T4,True,False,91.67,2025-11-01
202512,2025,12,Diciembre,Dic,T4,True,True,100.0,2025-12-01
202601,2026,1,Enero,Ene,T1,False,False,8.33,2026-01-01
202602,2026,2,Febrero,Feb,T1,False,False,16.67,2026-02-01
202603,2026,3,Marzo,Mar,T1,False,False,25.0,2026-03-01
202604,2026,4,Abril,Abr,T2,False,False,33.33,2026-04-01
202605,2026,5,Mayo,May,T2,False,False,41.67,2026-05-01
202606,2026,6,Junio,Jun,T2,False,False,50.0,2026-06-01
202607,2026,7,Julio,Jul,T3,False,False,58.33,2026-07-01
202608,2026,8,Agosto,Ago,T3,False,False,66.67,2026-08-01
202609,2026,9,Septiembre,Sep,T3,False,False,75.0,2026-09-01
202610,2026,10,Octubre,Oct,T4,True,False,83.33,2026-10-01
202611,2026,11,Noviembre,Nov,T4,True,False,91.67,2026-11-01
202612,2026,12,Diciembre,Dic,T4,True,True,100.0,2026-12-01
202701,2027,1,Enero,Ene,T1,False,False,8.33,2027-01-01
202702,2027,2,Febrero,Feb,T1,False,False,16.67,2027-02-01
202703,2027,3,Marzo,Mar,T1,False,False,25.0,2027-03-01
202704,2027,4,Abril,Abr,T2,False,False,33.33,2027-04-01
202705,2027,5,Mayo,May,T2,False,False,41.67,2027-05-01
202706,2027,6,Junio,Jun,T2,False,False,50.0,2027-06-01
202707,2027,7,Julio,Jul,T3,False,False,58.33,2027-07-01
202708,2027,8,Agosto,Ago,T3,False,False,66.67,2027-08-01
202709,2027,9,Septiembre,Sep,T3,False,False,75.0,2027-09-01
202710,2027,10,Octubre,Oct,T4,True,False,83.33,2027-10-01
202711,2027,11,Noviembre,Nov,T4,True,False,91.67,2027-11-01
202712,2027,12,Diciembre,Dic,T4,True,True,100.0,2027-12-01
