cod_localidad,localidad,nombre_mapa,codigo_loc,poblacion_total,poblacion_60_mas
1,Usaquén,USAQUEN,1,572511,117254
2,Chapinero,CHAPINERO,2,163538,31050
3,Santa Fe,SANTA FE,3,113358,16555
4,San Cristóbal,SAN CRISTOBAL,4,401380,58696
5,Usme,USME,5,403123,49878
6,Tunjuelito,TUNJUELITO,6,177340,27690
7,Bosa,BOSA,7,767285,91143
8,Kennedy,KENNEDY,8,1080345,162222
9,Fontibón,FONTIBON,9,391355,66317
10,Engativá,ENGATIVA,10,827215,149975
11,Suba,SUBA,11,1246296,208166
12,Barrios Unidos,BARRIOS UNIDOS,12,139692,27878
13,Teusaquillo,TEUSAQUILLO,13,157506,36735
14,Los Mártires,LOS MARTIRES,14,83984,13223
15,Antonio Nariño,ANTONIO NARIÑO,15,79747,15037
16,Puente Aranda,PUENTE ARANDA,16,251646,48822
17,La Candelaria,CANDELARIA,17,16793,2863
18,Rafael Uribe Uribe,RAFAEL URIBE URIBE,18,379062,58116
19,Ciudad Bolívar,CIUDAD BOLIVAR,19,680144,80975
20,Sumapaz,SUMAPAZ,20,3648,514
