periodo,anio,mes,nombre_mes,tipo_objeto,valor_mm
202403.0,2024,3.0,Marzo,Todo lo demás,107.52
202404.0,2024,4.0,Abril,Todo lo demás,684.91
202404.0,2024,4.0,Abril,"Viajes, comida, uniformes y eventos",13182.65
202405.0,2024,5.0,Mayo,Todo lo demás,778.49
202406.0,2024,6.0,Junio,Todo lo demás,310.9
202407.0,2024,7.0,Julio,"Viajes, comida, uniformes y eventos",3743.6
202408.0,2024,8.0,Agosto,Todo lo demás,508.75
202408.0,2024,8.0,Agosto,"Viajes, comida, uniformes y eventos",6873.09
202409.0,2024,9.0,Septiembre,Todo lo demás,1004.86
202409.0,2024,9.0,Septiembre,"Viajes, comida, uniformes y eventos",191.27
202410.0,2024,10.0,Octubre,Todo lo demás,1295.38
202410.0,2024,10.0,Octubre,"Viajes, comida, uniformes y eventos",417.15
202411.0,2024,11.0,Noviembre,Todo lo demás,2004.24
202411.0,2024,11.0,Noviembre,"Viajes, comida, uniformes y eventos",27337.25
202412.0,2024,12.0,Diciembre,Todo lo demás,655.85
202412.0,2024,12.0,Diciembre,"Viajes, comida, uniformes y eventos",829.06
202501.0,2025,1.0,Enero,Todo lo demás,2424.22
202501.0,2025,1.0,Enero,"Viajes, comida, uniformes y eventos",337.59
202502.0,2025,2.0,Febrero,Todo lo demás,15778.06
202502.0,2025,2.0,Febrero,"Viajes, comida, uniformes y eventos",224.85
202503.0,2025,3.0,Marzo,Todo lo demás,12229.43
202503.0,2025,3.0,Marzo,"Viajes, comida, uniformes y eventos",3983.36
202504.0,2025,4.0,Abril,Todo lo demás,20773.58
202504.0,2025,4.0,Abril,"Viajes, comida, uniformes y eventos",3171.32
202505.0,2025,5.0,Mayo,Todo lo demás,12281.93
202505.0,2025,5.0,Mayo,"Viajes, comida, uniformes y eventos",1563.22
202506.0,2025,6.0,Junio,Todo lo demás,4796.64
202506.0,2025,6.0,Junio,"Viajes, comida, uniformes y eventos",325.68
202507.0,2025,7.0,Julio,Todo lo demás,2896.17
202507.0,2025,7.0,Julio,"Viajes, comida, uniformes y eventos",1296.9
202508.0,2025,8.0,Agosto,Todo lo demás,2003.91
202508.0,2025,8.0,Agosto,"Viajes, comida, uniformes y eventos",156.8
202509.0,2025,9.0,Septiembre,Todo lo demás,1155.99
202509.0,2025,9.0,Septiembre,"Viajes, comida, uniformes y eventos",2068.17
202510.0,2025,10.0,Octubre,Todo lo demás,1988.43
202510.0,2025,10.0,Octubre,"Viajes, comida, uniformes y eventos",41603.22
202511.0,2025,11.0,Noviembre,Todo lo demás,62.52
202511.0,2025,11.0,Noviembre,"Viajes, comida, uniformes y eventos",126.03
202601.0,2026,1.0,Enero,Todo lo demás,2718.84
202601.0,2026,1.0,Enero,"Viajes, comida, uniformes y eventos",626.89
202602.0,2026,2.0,Febrero,Todo lo demás,171.25
