ambito,periodo,anio,mes,nombre_mes,valor_mm,pct_del_anio
Proyectos de actividad física,202401,2024,1,Enero,0.0,0.0
Proyectos de actividad física,202402,2024,2,Febrero,0.0,0.0
Proyectos de actividad física,202403,2024,3,Marzo,107.52,0.18
Proyectos de actividad física,202404,2024,4,Abril,13867.56,23.14
Proyectos de actividad física,202405,2024,5,Mayo,778.49,1.3
Proyectos de actividad física,202406,2024,6,Junio,310.9,0.52
Proyectos de actividad física,202407,2024,7,Julio,3743.6,6.25
Proyectos de actividad física,202408,2024,8,Agosto,7381.84,12.32
Proyectos de actividad física,202409,2024,9,Septiembre,1196.13,2.0
Proyectos de actividad física,202410,2024,10,Octubre,1712.53,2.86
Proyectos de actividad física,202411,2024,11,Noviembre,29341.49,48.96
Proyectos de actividad física,202412,2024,12,Diciembre,1484.91,2.48
Proyectos de actividad física,202501,2025,1,Enero,2761.81,2.1
Proyectos de actividad física,202502,2025,2,Febrero,16002.91,12.19
Proyectos de actividad física,202503,2025,3,Marzo,16212.79,12.35
Proyectos de actividad física,202504,2025,4,Abril,23944.89,18.24
Proyectos de actividad física,202505,2025,5,Mayo,13845.15,10.55
Proyectos de actividad física,202506,2025,6,Junio,5122.32,3.9
Proyectos de actividad física,202507,2025,7,Julio,4193.07,3.19
Proyectos de actividad física,202508,2025,8,Agosto,2160.71,1.65
Proyectos de actividad física,202509,2025,9,Septiembre,3224.16,2.46
Proyectos de actividad física,202510,2025,10,Octubre,43591.65,33.21
Proyectos de actividad física,202511,2025,11,Noviembre,188.54,0.14
Proyectos de actividad física,202512,2025,12,Diciembre,0.0,0.0
IDRD completo,202401,2024,1,Enero,16.5,0.01
IDRD completo,202402,2024,2,Febrero,6552.69,2.77
IDRD completo,202403,2024,3,Marzo,29371.11,12.43
IDRD completo,202404,2024,4,Abril,38942.8,16.48
IDRD completo,202405,2024,5,Mayo,22906.49,9.7
IDRD completo,202406,2024,6,Junio,23468.06,9.93
IDRD completo,202407,2024,7,Julio,4354.29,1.84
IDRD completo,202408,2024,8,Agosto,14410.98,6.1
IDRD completo,202409,2024,9,Septiembre,7486.09,3.17
IDRD completo,202410,2024,10,Octubre,23736.22,10.05
IDRD completo,202411,2024,11,Noviembre,58597.85,24.8
IDRD completo,202412,2024,12,Diciembre,6408.47,2.71
IDRD completo,202501,2025,1,Enero,7711.83,1.84
IDRD completo,202502,2025,2,Febrero,39314.88,9.37
IDRD completo,202503,2025,3,Marzo,33274.25,7.93
IDRD completo,202504,2025,4,Abril,57019.61,13.59
IDRD completo,202505,2025,5,Mayo,24901.67,5.94
IDRD completo,202506,2025,6,Junio,8847.22,2.11
IDRD completo,202507,2025,7,Julio,32561.95,7.76
IDRD completo,202508,2025,8,Agosto,5000.57,1.19
IDRD completo,202509,2025,9,Septiembre,61194.9,14.59
IDRD completo,202510,2025,10,Octubre,147979.65,35.27
IDRD completo,202511,2025,11,Noviembre,1729.78,0.41
IDRD completo,202512,2025,12,Diciembre,0.0,0.0
Todo el Distrito,202401,2024,1,Enero,412471.03,4.39
Todo el Distrito,202402,2024,2,Febrero,999279.59,10.64
Todo el Distrito,202403,2024,3,Marzo,719951.35,7.67
Todo el Distrito,202404,2024,4,Abril,1297140.53,13.82
Todo el Distrito,202405,2024,5,Mayo,748366.38,7.97
Todo el Distrito,202406,2024,6,Junio,541556.05,5.77
Todo el Distrito,202407,2024,7,Julio,422553.99,4.5
Todo el Distrito,202408,2024,8,Agosto,707156.27,7.53
Todo el Distrito,202409,2024,9,Septiembre,599173.32,6.38
Todo el Distrito,202410,2024,10,Octubre,460654.56,4.91
Todo el Distrito,202411,2024,11,Noviembre,1694472.82,18.05
Todo el Distrito,202412,2024,12,Diciembre,785561.06,8.37
Todo el Distrito,202501,2025,1,Enero,2046689.19,18.83
Todo el Distrito,202502,2025,2,Febrero,1821779.5,16.76
Todo el Distrito,202503,2025,3,Marzo,881311.42,8.11
Todo el Distrito,202504,2025,4,Abril,816781.67,7.51
Todo el Distrito,202505,2025,5,Mayo,629900.63,5.79
Todo el Distrito,202506,2025,6,Junio,723431.9,6.65
Todo el Distrito,202507,2025,7,Julio,614959.93,5.66
Todo el Distrito,202508,2025,8,Agosto,596071.59,5.48
Todo el Distrito,202509,2025,9,Septiembre,1018794.43,9.37
Todo el Distrito,202510,2025,10,Octubre,946341.75,8.7
Todo el Distrito,202511,2025,11,Noviembre,775805.67,7.14
Todo el Distrito,202512,2025,12,Diciembre,15.38,0.0
