ambito,cod_localidad,nombre_mapa,localidad,anio,mes_corte,vigente,comprometido,girado,pct_comprometido,pct_girado,pct_girado_de_comprometido,concentracion_diciembre,concentracion_q4,anio_completo
IDRD,,,Distrital (IDRD),2024,12,396682.507,382686.726,256138.805,96.472,64.57,66.932,24.341,48.2,True
IDRD,,,Distrital (IDRD),2025,12,546188.931,500360.271,346787.188,91.609,63.492,69.307,20.314,49.395,True
IDRD,,,Distrital (IDRD),2026,5,498513.226,285165.918,81132.942,57.203,16.275,28.451,,,False
Fondo de Desarrollo Local,1,USAQUEN,Usaquén,2024,12,88133.927,80859.748,39070.469,91.746,44.331,48.319,6.614,16.21,True
Fondo de Desarrollo Local,1,USAQUEN,Usaquén,2025,12,120944.957,120168.168,70059.269,99.358,57.927,58.301,12.355,25.42,True
Fondo de Desarrollo Local,1,USAQUEN,Usaquén,2026,5,131076.057,68765.766,26374.667,52.462,20.122,38.354,,,False
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,2024,12,63598.611,58271.189,25265.342,91.623,39.726,43.358,10.071,33.123,True
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,2025,12,75924.829,69147.513,38452.727,91.074,50.646,55.61,10.994,33.386,True
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,2026,5,69233.009,41126.007,9455.497,59.402,13.657,22.992,,,False
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,2024,12,86249.13,82916.904,50653.603,96.137,58.729,61.09,3.535,22.45,True
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,2025,12,97973.265,97920.927,47550.705,99.947,48.534,48.56,13.243,22.194,True
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,2026,5,107759.693,66269.284,16623.594,61.497,15.427,25.085,,,False
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,2024,12,186793.699,184551.186,90254.057,98.799,48.318,48.905,9.539,25.279,True
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,2025,12,222437.193,221851.301,112308.439,99.737,50.49,50.623,10.189,25.632,True
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,2026,5,237233.342,163797.2,57644.642,69.045,24.299,35.193,,,False
Fondo de Desarrollo Local,5,USME,Usme,2024,12,191785.668,182434.473,103541.01,95.124,53.988,56.755,8.325,37.099,True
Fondo de Desarrollo Local,5,USME,Usme,2025,12,206034.505,202678.53,110374.684,98.371,53.571,54.458,10.74,27.692,True
Fondo de Desarrollo Local,5,USME,Usme,2026,5,219387.134,126238.49,31274.579,57.541,14.255,24.774,,,False
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,2024,12,83047.832,83044.104,52931.963,99.996,63.737,63.74,10.225,28.134,True
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,2025,12,90292.818,89012.263,53760.102,98.582,59.54,60.396,11.854,22.096,True
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,2026,5,88886.243,49943.802,13237.786,56.188,14.893,26.505,,,False
Fondo de Desarrollo Local,7,BOSA,Bosa,2024,12,241797.061,238976.034,100926.477,98.833,41.74,42.233,8.963,34.098,True
Fondo de Desarrollo Local,7,BOSA,Bosa,2025,12,296156.147,294908.135,134776.959,99.579,45.509,45.701,13.469,29.463,True
Fondo de Desarrollo Local,7,BOSA,Bosa,2026,5,319395.465,207346.159,70615.437,64.918,22.109,34.057,,,False
Fondo de Desarrollo Local,8,KENNEDY,Kennedy,2024,12,301239.589,287866.579,143407.371,95.561,47.606,49.817,11.034,34.157,True
Fondo de Desarrollo Local,8,KENNEDY,Kennedy,2025,12,330591.796,327282.174,188874.52,98.999,57.132,57.71,11.306,21.259,True
Fondo de Desarrollo Local,8,KENNEDY,Kennedy,2026,5,327345.366,185835.94,42644.135,56.771,13.027,22.947,,,False
Fondo de Desarrollo Local,9,FONTIBON,Fontibón,2024,12,96644.408,92996.711,50954.665,96.226,52.724,54.792,9.354,30.54,True
Fondo de Desarrollo Local,9,FONTIBON,Fontibón,2025,12,103773.204,102826.976,53207.388,99.088,51.273,51.745,7.714,28.668,True
Fondo de Desarrollo Local,9,FONTIBON,Fontibón,2026,5,111311.733,67960.452,21272.567,61.054,19.111,31.301,,,False
Fondo de Desarrollo Local,10,ENGATIVA,Engativá,2024,12,157883.352,157449.898,87026.253,99.725,55.121,55.272,8.914,23.532,True
Fondo de Desarrollo Local,10,ENGATIVA,Engativá,2025,12,184284.099,184278.957,125283.804,99.997,67.984,67.986,25.674,41.179,True
Fondo de Desarrollo Local,10,ENGATIVA,Engativá,2026,5,169437.092,100535.581,45582.005,59.335,26.902,45.339,,,False
Fondo de Desarrollo Local,11,SUBA,Suba,2024,12,226740.858,203995.401,91831.699,89.969,40.501,45.017,5.361,30.92,True
Fondo de Desarrollo Local,11,SUBA,Suba,2025,12,274906.424,272900.738,143572.772,99.27,52.226,52.61,15.158,30.019,True
Fondo de Desarrollo Local,11,SUBA,Suba,2026,5,286621.57,166145.923,54291.236,57.967,18.942,32.677,,,False
Fondo de Desarrollo Local,12,BARRIOS UNIDOS,Barrios Unidos,2024,12,66698.151,60901.552,32138.744,91.309,48.185,52.772,13.089,40.186,True
Fondo de Desarrollo Local,12,BARRIOS UNIDOS,Barrios Unidos,2025,12,78434.142,78386.865,47468.427,99.94,60.52,60.557,9.163,24.408,True
Fondo de Desarrollo Local,12,BARRIOS UNIDOS,Barrios Unidos,2026,5,77663.954,44619.697,12791.781,57.452,16.471,28.668,,,False
