ambito,cod_localidad,nombre_mapa,localidad,periodo,anio,mes,vigente_snapshot,comprometido_acumulado_anio,girado_acumulado_anio,giro_mes,compromiso_mes
IDRD,,,Distrital (IDRD),202401,2024,1,408340.357,13885.204,932.158,932.158,13885.204
IDRD,,,Distrital (IDRD),202402,2024,2,408340.357,30735.924,8218.165,7286.007,16850.72
IDRD,,,Distrital (IDRD),202403,2024,3,408340.357,62642.918,15545.09,7326.925,31906.994
IDRD,,,Distrital (IDRD),202404,2024,4,408340.357,111097.937,30713.401,15168.311,48455.019
IDRD,,,Distrital (IDRD),202405,2024,5,408340.357,184660.909,44001.404,13288.003,73562.972
IDRD,,,Distrital (IDRD),202406,2024,6,408340.357,184660.909,58905.262,14903.858,0.0
IDRD,,,Distrital (IDRD),202407,2024,7,408340.357,200019.982,80743.874,21838.612,15359.073
IDRD,,,Distrital (IDRD),202408,2024,8,411826.717,224249.677,105350.529,24606.655,24229.696
IDRD,,,Distrital (IDRD),202409,2024,9,405894.229,235562.172,132680.155,27329.626,11312.495
IDRD,,,Distrital (IDRD),202410,2024,10,407959.187,260102.951,160908.58,28228.425,24540.778
IDRD,,,Distrital (IDRD),202411,2024,11,407959.187,316747.896,193792.572,32883.992,56644.946
IDRD,,,Distrital (IDRD),202412,2024,12,396682.507,382686.726,256138.805,62346.233,65938.829
IDRD,,,Distrital (IDRD),202501,2025,1,556552.598,1646.05,901.196,901.196,1646.05
IDRD,,,Distrital (IDRD),202502,2025,2,556552.598,42909.094,3270.889,2369.693,41263.044
IDRD,,,Distrital (IDRD),202503,2025,3,556552.598,96444.109,15189.661,11918.772,53535.014
IDRD,,,Distrital (IDRD),202504,2025,4,556552.598,184059.969,29297.109,14107.448,87615.86
IDRD,,,Distrital (IDRD),202505,2025,5,556552.598,210149.493,52718.448,23421.339,26089.524
IDRD,,,Distrital (IDRD),202506,2025,6,556552.598,240802.907,75213.295,22494.847,30653.414
IDRD,,,Distrital (IDRD),202507,2025,7,556896.334,268418.467,105139.722,29926.427,27615.56
IDRD,,,Distrital (IDRD),202508,2025,8,556896.334,322918.106,132831.323,27691.601,54499.64
IDRD,,,Distrital (IDRD),202509,2025,9,556896.334,382537.895,175493.143,42661.821,59619.788
IDRD,,,Distrital (IDRD),202510,2025,10,556896.334,438517.521,243204.038,67710.894,55979.626
IDRD,,,Distrital (IDRD),202511,2025,11,556896.334,455391.727,276340.604,33136.566,16874.206
IDRD,,,Distrital (IDRD),202512,2025,12,546188.931,500360.271,346787.188,70446.584,44968.544
IDRD,,,Distrital (IDRD),202601,2026,1,498513.226,171819.831,1375.972,1375.972,171819.831
IDRD,,,Distrital (IDRD),202602,2026,2,498513.226,192045.799,9967.802,8591.83,20225.968
IDRD,,,Distrital (IDRD),202603,2026,3,498513.226,215316.663,26637.148,16669.347,23270.864
IDRD,,,Distrital (IDRD),202604,2026,4,498513.226,243366.028,51617.832,24980.683,28049.364
