cod_proyecto,actividad,magnitud_programada,magnitud_entregada,avance_fisico_pct,avance_financiero_pct
8154,Realizar 4 Evento(s) de eSports y Deportes Alternativos,4.0,0.0,0.0,8.03
8155,Desarrollar 4 Torneo(s) deportivos que fortalezcan el deporte ,4.0,0.0,0.0,0.0
8155,Realizar 4 Torneo(s) por la igualdad que permitan espacios de ,4.0,0.0,0.0,1.34
8155,Desarrollar 158 Experiencia(s) para la Paz,158.0,14.0,8.86,6.92
8154,Realizar 8 Evento(s) deportivos del Sector Educativo,8.0,1.0,12.5,8.11
8154,Desarrollar 23 Certamen(es) deportivos distritales  nacionales,23.0,4.0,17.39,8.67
8155,Realizar 902 Actividad(es) de Recreación para grupos etarios y,90525.0,16355.0,18.07,12.31
8155,Realizar 368650 Actividad(es) físicas dirigidas para la promoc,368650.0,71561.0,19.41,16.57
8155,Beneficiar 160000 Persona(s) con procesos de alfabetización fí,160000.0,32443.0,20.28,22.53
8155,Realizar 241 Jornada(s) de Ciclovías dominicales y festivas,241.0,50.0,20.75,13.79
8155,Desarrollar 8 Evento(s) metropolitanos,108.0,23.0,21.3,19.56
8155,Desarrollar 4535 Actividad(es) de promoción del uso de la bici,45325.0,9776.0,21.57,9.92
8154,Beneficiar 4200 Persona(s) en las Escuelas Deportivas,42100.0,11352.0,26.96,16.44
8154,Preparar 8100 Persona(s) en el programa de Rendimiento Deporti,8100.0,2545.0,31.42,23.39
