cod_localidad,localidad,3omas_sem_2017,3omas_sem_2021,nada_2017,nada_2021,delta_nada,delta_3omas,c_nivel,c_deficit,c_deterioro,indice_riesgo,rank_riesgo,comprometido_af_directa,comprometido_af_infra,girado_af_directa,girado_af_infra,programado_af_directa,programado_af_infra,af_total_programado,af_total_girado,pct_girado_af,pct_comprometido_af,poblacion_total,poblacion_15_mas,poblacion_45_mas,poblacion_60_mas,pct_45_mas,pct_60_mas,anio,pct_comprometido,pct_girado,concentracion_diciembre,sesiones,escenarios,disciplinas,sesiones_barrera_alta,sesiones_base,af_pc,af_directa_pc,af_pc_45mas,rank_inversion,brecha_rank,diagnostico,sesiones_pc_100k,hab15_por_sesion,brecha_servicio
4.0,San Cristóbal,10.6,12.4,56.3,55.4,-0.8999999999999986,1.8000000000000007,100.0,95.0,75.0,93.25,1,4236.95,0.0,526.89,0.0,17274.14,8612.4,25886.54,526.89,2.0353820943239227,16.367386294189952,401380,323941,126098,58696,31.41611440530171,14.623548756789075,2025,99.73660345193504,50.48995508714805,10.189131806961198,10,2,2,4,6,64493.84623050476,43036.87278887837,205289.0608891497,9,8,atendida_lenta,3.086981888677259,32394.1,con_oferta
14.0,Los Mártires,17.0,14.0,49.3,51.8,2.5,-3.0,80.0,85.0,90.0,83.75,2,1154.54,734.3199999999999,115.29,70.12,6246.92,2785.6,9032.52,185.41000000000005,2.052694043301316,20.9117721300368,83984,70042,27349,13223,32.56453610211469,15.744665650600114,2025,99.93808837143594,53.59463422376624,13.74979033662984,0,0,0,0,0,107550.48580682035,74382.26328824538,330268.74840030714,4,2,atendida_lenta,0.0,,sin_oferta
3.0,Santa Fe,16.3,13.8,46.1,50.9,4.799999999999997,-2.5,70.0,90.0,100.0,83.0,3,896.51,0.0,674.91,0.0,8258.42,3985.11,12243.53,674.91,5.512380824811145,7.3223163581091395,113358,93339,35215,16555,31.06529755288555,14.604174385574904,2025,99.94658016634637,48.53436779599105,13.243386524298517,0,0,0,0,0,108007.63951375289,72852.55562024735,347679.3979838137,3,0,atendida_lenta,0.0,,sin_oferta
5.0,Usme,10.9,10.0,57.5,53.3,-4.200000000000003,-0.9000000000000004,92.5,100.0,25.0,81.625,4,956.3,0.0,565.44,0.0,19390.39,8318.81,27709.2,565.44,2.040621887315405,3.4512003233583077,403123,315192,112557,49878,27.921254803124604,12.372898594225584,2025,98.37115880292082,53.570970581516,10.740381424848174,4,1,1,0,4,68736.34101750582,48100.43088585866,246179.26917028707,8,4,atendida_lenta,1.2690677428361126,78798.0,oferta_insuficiente
19.0,Ciudad Bolívar,11.7,14.7,54.0,52.4,-1.6000000000000014,3.0,85.0,80.0,62.5,78.75,5,808.0,0.0,0.0,0.0,19932.77,13342.78,33275.55,0.0,0.0,2.4282093008229766,680144,530066,186880,80975,27.47653438095462,11.905567056388058,2025,99.28449381161052,54.501640167775776,8.635739957662025,0,0,0,0,0,48924.27191888777,29306.690936037074,178058.37970890413,11,6,desatendida,0.0,,sin_oferta
8.0,Kennedy,16.0,17.3,55.6,53.3,-2.3000000000000043,1.3000000000000007,92.5,70.0,50.0,76.125,6,1596.49,2751.5,823.14,0.0,28160.19,17902.83,46063.02,823.14,1.7869866109516916,9.43922044190763,1080345,887303,361096,162222,33.42413765972907,15.015758854810269,2025,98.99887956151596,57.132246554650486,11.306216115572449,12,3,2,4,8,42637.32418810658,26065.92338558516,127564.47039014555,15,9,desatendida,1.352412873618144,73941.91666666667,oferta_insuficiente
7.0,Bosa,13.3,16.9,55.2,50.5,-4.700000000000003,3.599999999999998,65.0,75.0,20.0,59.5,7,1423.4,4070.38,702.19,0.0,23359.18,10175.73,33534.91,702.19,2.093907513096054,16.382271489620816,767285,609143,225168,91143,29.346070886306915,11.87863701232267,2025,99.5785968689113,45.50874937433037,13.46850735147713,0,0,0,0,0,43705.93716806663,30443.941951165474,148932.84125630642,14,7,desatendida,0.0,,sin_oferta
18.0,Rafael Uribe Uribe,11.5,17.7,59.9,51.6,-8.299999999999997,6.199999999999999,75.0,65.0,5.0,57.5,8,556.0,1424.0,0.0,0.0,16519.31,7797.11,24316.42,0.0,0.0,8.14264599805399,379062,309650,122208,58116,32.23958086012315,15.331528879180714,2025,99.78519315468866,61.50992196751442,11.803263262062911,6,2,1,0,6,64148.925505590116,43579.44083025996,198975.68080649385,10,2,atendida,1.9376715646697884,51608.333333333336,con_oferta
6.0,Tunjuelito,16.0,22.4,49.8,46.8,-3.0,6.399999999999999,60.0,50.0,42.5,53.0,9,572.79,0.0,417.8200000000001,0.0,7990.11,5206.65,13196.759999999998,417.8200000000001,3.1660801590693484,4.340383548689224,177340,146156,57939,27690,32.6711401826999,15.614074658847413,2025,98.58177541364574,59.53973220066687,11.854137503067497,14,2,2,6,8,74415.02199165444,45055.31746926807,227769.89592502455,6,-3,atendida,9.578806207066423,10439.714285714286,con_oferta
10.0,Engativá,19.5,18.8,50.5,45.6,-4.899999999999999,-0.6999999999999993,55.00000000000001,60.0,15.0,48.75,10,2779.25,1884.3,492.98,487.38,15280.27,7201.3,22481.57,980.36,4.36072747588358,20.743880431838168,827215,699640,301903,149975,36.49631595171751,18.130111276995702,2025,99.99720985368454,67.98405562807125,25.673518228398645,61,12,4,29,32,27177.420622208254,18471.94502033933,74466.20272074144,19,9,desatendida,8.718769652964381,11469.508196721312,con_oferta
